"REF_DATE","GEO","DGUID","Statistics (6B)","Age (15A)","Gender (3)","Highest certificate, diploma or degree (16)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Quebec","2021A000224","(%) distribution","Total - Age","Total - Gender","College, CEGEP or other non-university certificate or diploma","","0","units","0","","26.1.1.1.9","17.4","","","","1"
"2021","Quebec","2021A000224","(%) distribution","Total - Age","Total - Gender","University certificate or diploma below bachelor level","","0","units","0","","26.1.1.1.10","3.7","","","","1"
"2021","Quebec","2021A000224","(%) distribution","Total - Age","Total - Gender","Bachelor’s degree or higher","","0","units","0","","26.1.1.1.11","23.5","","","","1"
"2021","Ontario","2021A000235","(%) distribution","Total - Age","Total - Gender","Total - Highest certificate, diploma or degree","","0","units","0","","56.1.1.1.1","100.0","","","","1"
"2021","Ontario","2021A000235","(%) distribution","Total - Age","Total - Gender","No certificate, diploma or degree","","0","units","0","","56.1.1.1.2","15.3","","","","1"
"2021","Ontario","2021A000235","(%) distribution","Total - Age","Total - Gender","High (secondary) school diploma or equivalency certificate","","0","units","0","","56.1.1.1.3","27.2","","","","1"
"2021","Ontario","2021A000235","(%) distribution","Total - Age","Total - Gender","Non-apprenticeship trades certificate or diploma","","0","units","0","","56.1.1.1.7","2.4","","","","1"
"2021","Ontario","2021A000235","(%) distribution","Total - Age","Total - Gender","Apprenticeship certificate","","0","units","0","","56.1.1.1.8","2.6","","","","1"
"2021","Ontario","2021A000235","(%) distribution","Total - Age","Total - Gender","College, CEGEP or other non-university certificate or diploma","","0","units","0","","56.1.1.1.9","20.3","","","","1"
"2021","Ontario","2021A000235","(%) distribution","Total - Age","Total - Gender","University certificate or diploma below bachelor level","","0","units","0","","56.1.1.1.10","2.3","","","","1"
"2021","Ontario","2021A000235","(%) distribution","Total - Age","Total - Gender","Bachelor’s degree or higher","","0","units","0","","56.1.1.1.11","29.9","","","","1"
