"REF_DATE","GEO","DGUID","Age group","Reasons not looking for work","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - school","High 95% confidence interval, number of persons","Number","223","units","0","v1586031590","1.1.5.3","22440","","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - school","High 95% confidence interval, number of persons","Number","223","units","0","v1586031590","1.1.5.3","","F","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - school","Percentage of persons","Percent","239","units","0","v1586031591","1.1.5.4","6.8","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - school","Percentage of persons","Percent","239","units","0","v1586031591","1.1.5.4","7.2","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - school","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031592","1.1.5.5","4.9","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - school","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031592","1.1.5.5","4.7","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - school","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031593","1.1.5.6","9.5","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - school","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031593","1.1.5.6","10.9","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - awaiting recall and/or reply","Number of persons","Number","223","units","0","v1586031594","1.1.6.1","","F","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - awaiting recall and/or reply","Number of persons","Number","223","units","0","v1586031594","1.1.6.1","","F","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - awaiting recall and/or reply","Low 95% confidence interval, number of persons","Number","223","units","0","v1586031595","1.1.6.2","","F","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - awaiting recall and/or reply","Low 95% confidence interval, number of persons","Number","223","units","0","v1586031595","1.1.6.2","","F","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - awaiting recall and/or reply","High 95% confidence interval, number of persons","Number","223","units","0","v1586031596","1.1.6.3","","F","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - awaiting recall and/or reply","High 95% confidence interval, number of persons","Number","223","units","0","v1586031596","1.1.6.3","","F","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - awaiting recall and/or reply","Percentage of persons","Percent","239","units","0","v1586031597","1.1.6.4","3.0","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - awaiting recall and/or reply","Percentage of persons","Percent","239","units","0","v1586031597","1.1.6.4","5.3","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - awaiting recall and/or reply","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031598","1.1.6.5","1.7","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - awaiting recall and/or reply","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031598","1.1.6.5","2.7","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - awaiting recall and/or reply","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031599","1.1.6.6","5.2","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - awaiting recall and/or reply","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031599","1.1.6.6","10.1","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - discouraged","Number of persons","Number","223","units","0","v1586031600","1.1.7.1","18880","E","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - discouraged","Number of persons","Number","223","units","0","v1586031600","1.1.7.1","","F","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - discouraged","Low 95% confidence interval, number of persons","Number","223","units","0","v1586031601","1.1.7.2","12540","","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - discouraged","Low 95% confidence interval, number of persons","Number","223","units","0","v1586031601","1.1.7.2","","F","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - discouraged","High 95% confidence interval, number of persons","Number","223","units","0","v1586031602","1.1.7.3","25730","","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - discouraged","High 95% confidence interval, number of persons","Number","223","units","0","v1586031602","1.1.7.3","","F","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - discouraged","Percentage of persons","Percent","239","units","0","v1586031603","1.1.7.4","7.8","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - discouraged","Percentage of persons","Percent","239","units","0","v1586031603","1.1.7.4","5.2","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - discouraged","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031604","1.1.7.5","5.5","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - discouraged","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031604","1.1.7.5","3.3","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - discouraged","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031605","1.1.7.6","11.0","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - discouraged","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031605","1.1.7.6","8.0","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - fear of prejudice or discrimination ","Number of persons","Number","223","units","0","v1586031606","1.1.8.1","","F","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - fear of prejudice or discrimination ","Number of persons","Number","223","units","0","v1586031606","1.1.8.1","","F","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - fear of prejudice or discrimination ","Low 95% confidence interval, number of persons","Number","223","units","0","v1586031607","1.1.8.2","","F","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - fear of prejudice or discrimination ","Low 95% confidence interval, number of persons","Number","223","units","0","v1586031607","1.1.8.2","","F","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - fear of prejudice or discrimination ","High 95% confidence interval, number of persons","Number","223","units","0","v1586031608","1.1.8.3","","F","","","0"
